,ref,greek,lemma,pos,didakta,rel,syn,line,didakta_1,didakta_2,didakta_3,didakta_4,true_didakta,pred_didakta,feature_text
4355,2274107.6,ἔρις,ἔριδι,n-s---fd-,DatMean.,2274107.8,ADV,Ref=1.8,DatMean,,,,DatMean,DatLoc,ref=2274107.6 | greek=ἔρις | lemma=ἔριδι | pos=n-s---fd- | rel=2274107.8 | syn=ADV | line=Ref=1.8
5047,2274140.9,Ἀπόλλων,Ἀπόλλωνος,n-s---mg-,GenSubj.,2274140.14,ATR_AP,Ref=1.75,GenSubj,,,,GenSubj,GenPos,ref=2274140.9 | greek=Ἀπόλλων | lemma=Ἀπόλλωνος | pos=n-s---mg- | rel=2274140.14 | syn=ATR_AP | line=Ref=1.75
3166,17,ἐνοσίχθων,Ἐνοσίχθων,n-s---mn-,NomInd,16.0,ATR,5.366,NomInd,,,,NomInd,NomSubj,ref=17 | greek=ἐνοσίχθων | lemma=Ἐνοσίχθων | pos=n-s---mn- | rel=16.0 | syn=ATR | line=5.366
349,69,ληίδος,ληίς,n-s---fg-,GenPart (Prep5),68.0,OBJ,5.4,GenPart,,,,GenPart,GenVerb,ref=69 | greek=ληίδος | lemma=ληίς | pos=n-s---fg- | rel=68.0 | syn=OBJ | line=5.4
4161,6,ἀνέμων,ἄνεμος,n-p---mg-,GenSubj,8.0,ATR,5.478,GenSubj,,,,GenSubj,GenExpl,ref=6 | greek=ἀνέμων | lemma=ἄνεμος | pos=n-p---mg- | rel=8.0 | syn=ATR | line=5.478
3734,4,πουλύποδος,πολύπους,n-s---mg-,GenAbs,8.0,SBJ,5.432,GenAbs,,,,GenAbs,NomSubj,ref=4 | greek=πουλύποδος | lemma=πολύπους | pos=n-s---mg- | rel=8.0 | syn=SBJ | line=5.432
8676,2274335.6,κῦδος,κύδεϊ,n-s---nd-,DatCaus.,2274335.7,OBJ,Ref=1.405,DatCaus,,,,DatCaus,AccObj,ref=2274335.6 | greek=κῦδος | lemma=κύδεϊ | pos=n-s---nd- | rel=2274335.7 | syn=OBJ | line=Ref=1.405
5819,2274179.21,ἀνήρ,ἀνδρῶν,n-p---mg-,GenComp.,2274179.2,ATR,Ref=1.146|SpaceAfter=No,GenComp,,,,GenComp,GenObj,ref=2274179.21 | greek=ἀνήρ | lemma=ἀνδρῶν | pos=n-p---mg- | rel=2274179.2 | syn=ATR | line=Ref=1.146|SpaceAfter=No
5351,2274156.1,μένος,μένεος,n-s---ng-,GenMat. ,2274156.6,OBJ,Ref=1.103,GenMat,,,,GenMat,AccObj,ref=2274156.1 | greek=μένος | lemma=μένεος | pos=n-s---ng- | rel=2274156.6 | syn=OBJ | line=Ref=1.103
8564,2274331.7,παῖς,παιδός,n-s---mg-,GenVerb. ,2274331.6,OBJ,Ref=1.393,GenVerb,,,,GenVerb,GenSep,ref=2274331.7 | greek=παῖς | lemma=παιδός | pos=n-s---mg- | rel=2274331.6 | syn=OBJ | line=Ref=1.393
2470,12,Ὀδυσῆι,Ὀδυσσεύς,n-s---md-,DatAdvn (Prep5),11.0,OBJ,5.287,DatAdvn,,,,DatAdvn,DatVerb,ref=12 | greek=Ὀδυσῆι | lemma=Ὀδυσσεύς | pos=n-s---md- | rel=11.0 | syn=OBJ | line=5.287
3183,5,ἠΐων,ἤια,n-p---ng-,GenMat,6.0,ATR,5.368,GenMat,,,,GenMat,GenPart,ref=5 | greek=ἠΐων | lemma=ἤια | pos=n-p---ng- | rel=6.0 | syn=ATR | line=5.368
3487,6,ὄχοι,ὄχος,n-p---mn-,NomPred,12.0,SBJ_AP,5.404,NomPred,,,,NomPred,NomSubj,ref=6 | greek=ὄχοι | lemma=ὄχος | pos=n-p---mn- | rel=12.0 | syn=SBJ_AP | line=5.404
338,58,Τροίης,Τροία,n-s---fg-,GenSep,59.0,OBJ,5.39,GenSep,,,,GenSep,GenVerb,ref=58 | greek=Τροίης | lemma=Τροία | pos=n-s---fg- | rel=59.0 | syn=OBJ | line=5.39
1453,6,πολύτλας,πολύτλας,n-s---mn-,NomSubj,8.0,ATR,5.171,NomSubj,,,,NomSubj,NomInd,ref=6 | greek=πολύτλας | lemma=πολύτλας | pos=n-s---mn- | rel=8.0 | syn=ATR | line=5.171
8979,2274349.21,ἱστοδόκη,ἱστοδόκῃ,n-s---fd-,DatLoc.,2274349.22,OBJ,Ref=1.434,DatLoc,,,,DatLoc,AccObj,ref=2274349.21 | greek=ἱστοδόκη | lemma=ἱστοδόκῃ | pos=n-s---fd- | rel=2274349.22 | syn=OBJ | line=Ref=1.434
4254,11,ἐσχατιῆς,ἐσχατιά,n-s---fg-,GenLoc (Prep3),10.0,ADV,5.489,GenLoc,,,,GenLoc,GenSep,ref=11 | greek=ἐσχατιῆς | lemma=ἐσχατιά | pos=n-s---fg- | rel=10.0 | syn=ADV | line=5.489
4274,31,φύλλοισι,φύλλον,n-p---nd-,DatInstr,32.0,ADV,5.491,DatInstr,,,,DatInstr,DatLoc,ref=31 | greek=φύλλοισι | lemma=φύλλον | pos=n-p---nd- | rel=32.0 | syn=ADV | line=5.491
9628,2274381.14,θάλασσα,θαλάσσης,n-s---fg-,GenExpl.,2274381.13,ATR,Ref=1.496|SpaceAfter=No,GenExpl,,,,GenExpl,GenPos,ref=2274381.14 | greek=θάλασσα | lemma=θαλάσσης | pos=n-s---fg- | rel=2274381.13 | syn=ATR | line=Ref=1.496|SpaceAfter=No
57,6,μάκαρες,μάκαρ,n-p---mv-,NomSubj,7.0,ATR,5.7,NomSubj,,,,NomSubj,Voc,ref=6 | greek=μάκαρες | lemma=μάκαρ | pos=n-p---mv- | rel=7.0 | syn=ATR | line=5.7
3636,40,ἁλός,ἅλς,n-s---mg-,GenSep (Prep3),39.0,OBJ,5.422,GenSep,,,,GenSep,GenVerb,ref=40 | greek=ἁλός | lemma=ἅλς | pos=n-s---mg- | rel=39.0 | syn=OBJ | line=5.422
3873,20,ῥόον,ῥόος,n-s---ma-,AccDirec,22.0,OBJ_CO,5.449,AccDirec,,,,AccDirec,AccObj,ref=20 | greek=ῥόον | lemma=ῥόος | pos=n-s---ma- | rel=22.0 | syn=OBJ_CO | line=5.449
4052,7,νύκτα,νύξ,n-s---fa-,AccTime,8.0,OBJ,5.466,AccTime,,,,AccTime,AccObj,ref=7 | greek=νύκτα | lemma=νύξ | pos=n-s---fa- | rel=8.0 | syn=OBJ | line=5.466
4319,2274106.24,ἑλώριον,ἑλώρια,n-p---na-,AccDoubl. ,2274106.25,OCOMP,Ref=1.4,AccDoubl,,,,AccDoubl,AccObj,ref=2274106.24 | greek=ἑλώριον | lemma=ἑλώρια | pos=n-p---na- | rel=2274106.25 | syn=OCOMP | line=Ref=1.4
3206,5,δούρατι,δόρυ,n-s---nd-,DatLoc (Prep5),3.0,OBJ,5.371,DatLoc,,,,DatLoc,AccObj,ref=5 | greek=δούρατι | lemma=δόρυ | pos=n-s---nd- | rel=3.0 | syn=OBJ | line=5.371
2326,3,οὔρῳ,οὖρος,n-s---md-,DatVerb,4.0,ADV,5.269,DatVerb,,,,DatVerb,DatLoc,ref=3 | greek=οὔρῳ | lemma=οὖρος | pos=n-s---md- | rel=4.0 | syn=ADV | line=5.269
2359,28,ἐπίκλησιν,ἐπίκλησις,n-s---fa-,AccAdv,29.0,OBJ,5.273,AccAdv,,,,AccAdv,AccObj,ref=28 | greek=ἐπίκλησιν | lemma=ἐπίκλησις | pos=n-s---fa- | rel=29.0 | syn=OBJ | line=5.273
534,10,κερκίδ',κερκίς,n-s---fd-,DatInstr,11.0,ADV,5.62,DatInstr,,,,DatInstr,DatLoc,ref=10 | greek=κερκίδ' | lemma=κερκίς | pos=n-s---fd- | rel=11.0 | syn=ADV | line=5.62
7432,2274268.4,αἰχμητής,αἰχμητήν,n-s---ma-,AccDoubl.,2274268.5,OCOMP,Ref=1.290,AccDoubl,,,,AccDoubl,AccObj,ref=2274268.4 | greek=αἰχμητής | lemma=αἰχμητήν | pos=n-s---ma- | rel=2274268.5 | syn=OCOMP | line=Ref=1.290
9776,2274390.16,τιμή,τιμῇ,n-s---fd-,DatMean.,2274390.13,ADV,Ref=1.510|SpaceAfter=No,DatMean,,,,DatMean,DatLoc,ref=2274390.16 | greek=τιμή | lemma=τιμῇ | pos=n-s---fd- | rel=2274390.13 | syn=ADV | line=Ref=1.510|SpaceAfter=No
163,5,πατρὸς,πατήρ,n-s---mg-,GenObj,6.0,ATR,5.19,GenObj,,,,GenObj,GenPos,ref=5 | greek=πατρὸς | lemma=πατήρ | pos=n-s---mg- | rel=6.0 | syn=ATR | line=5.19
1514,7,σχεδίης,σχεδία,n-s---fg-,GenLoc,8.0,OBJ,5.177,GenLoc,,,,GenLoc,GenVerb,ref=7 | greek=σχεδίης | lemma=σχεδία | pos=n-s---fg- | rel=8.0 | syn=OBJ | line=5.177
2749,7,χρόνον,χρόνος,n-s---ma-,AccTime,5.0,ADV,5.319,AccTime,,,,AccTime,AccObj,ref=7 | greek=χρόνον | lemma=χρόνος | pos=n-s---ma- | rel=5.0 | syn=ADV | line=5.319
9288,2274365.6,χείρ,χερσίν,n-p---fd-,DatLoc.,2274365.5,OBJ,Ref=1.463|SpaceAfter=No,DatLoc,,,,DatLoc,AccObj,ref=2274365.6 | greek=χείρ | lemma=χερσίν | pos=n-p---fd- | rel=2274365.5 | syn=OBJ | line=Ref=1.463|SpaceAfter=No
4249,6,σποδιῇ,σποδιά,n-s---fd-,DatVerb,7.0,ADV,5.488,DatVerb,,,,DatVerb,DatLoc,ref=6 | greek=σποδιῇ | lemma=σποδιά | pos=n-s---fd- | rel=7.0 | syn=ADV | line=5.488
8657,2274334.26,Αἰγαίων,Αἰγαίων’,n-s---ma-,AccDoubl.,2274334.36,OCOMP,Ref=1.404|SpaceAfter=No,AccDoubl,,,,AccDoubl,AccObj,ref=2274334.26 | greek=Αἰγαίων | lemma=Αἰγαίων’ | pos=n-s---ma- | rel=2274334.36 | syn=OCOMP | line=Ref=1.404|SpaceAfter=No
7920,2274296.3,Ζεύς,Διός,n-s---mg-,GenObj.,2274296.5,ATR_CO,Ref=1.334,GenObj,,,,GenObj,GenPos,ref=2274296.3 | greek=Ζεύς | lemma=Διός | pos=n-s---mg- | rel=2274296.5 | syn=ATR_CO | line=Ref=1.334
148,17,θαλάσσης,θάλασσα,n-s---fg-,GenPart,16.0,ATR,5.17,GenPart,,,,GenPart,GenPos,ref=17 | greek=θαλάσσης | lemma=θάλασσα | pos=n-s---fg- | rel=16.0 | syn=ATR | line=5.17
287,7,πήματα,πῆμα,n-p---na-,"AccCog [lit ""suffering sufferings""]",8.0,OBJ,5.33,AccCog,,,,AccCog,AccObj,ref=7 | greek=πήματα | lemma=πῆμα | pos=n-p---na- | rel=8.0 | syn=OBJ | line=5.33
8200,2274311.5,ἅλς,ἁλός,n-s---fg-,GenSep. ,2274311.3,OBJ,Ref=1.359,GenSep,,,,GenSep,GenExpl,ref=2274311.5 | greek=ἅλς | lemma=ἁλός | pos=n-s---fg- | rel=2274311.3 | syn=OBJ | line=Ref=1.359
5361,2274156.11,πῦρ,πυρί,n-s---nd-,DatVerb. ,2274156.13,OBJ,Ref=1.104,DatVerb,,,,DatVerb,AccObj,ref=2274156.11 | greek=πῦρ | lemma=πυρί | pos=n-s---nd- | rel=2274156.13 | syn=OBJ | line=Ref=1.104
6309,2274201.29,Ἀτρείδης,Ἀτρεΐδην,n-s---ma-,PresNoni. | OptSubor. | Act.,2274201.3,OBJ,Ref=1.191|SpaceAfter=No,PresNoni,OptSubor,Act,,PresNoni,AccObj,ref=2274201.29 | greek=Ἀτρείδης | lemma=Ἀτρεΐδην | pos=n-s---ma- | rel=2274201.3 | syn=OBJ | line=Ref=1.191|SpaceAfter=No
8402,2274322.6,θυμός,θυμῷ,n-s---md-,DatLoc.,2274322.5,OBJ,Ref=1.378|SpaceAfter=No,DatLoc,,,,DatLoc,DatVerb,ref=2274322.6 | greek=θυμός | lemma=θυμῷ | pos=n-s---md- | rel=2274322.5 | syn=OBJ | line=Ref=1.378|SpaceAfter=No
4263,20,πυρὸς,πῦρ,n-s---ng-,GenPart,19.0,ATR,5.49,GenPart,,,,GenPart,NomSubj,ref=20 | greek=πυρὸς | lemma=πῦρ | pos=n-s---ng- | rel=19.0 | syn=ATR | line=5.49
8822,2274342.4,αἶσις,αἴσῃ,n-s---fd-,DatCaus.,2274342.5,ADV,Ref=1.418,DatCaus,,,,DatCaus,DatLoc,ref=2274342.4 | greek=αἶσις | lemma=αἴσῃ | pos=n-s---fd- | rel=2274342.5 | syn=ADV | line=Ref=1.418
2008,3,Ὀδυσσῆι,Ὀδυσσεύς,n-s---md-,DatAdvn,5.0,OBJ,5.233,DatAdvn,,,,DatAdvn,DatVerb,ref=3 | greek=Ὀδυσσῆι | lemma=Ὀδυσσεύς | pos=n-s---md- | rel=5.0 | syn=OBJ | line=5.233
10825,2274451.32,ὄψ,ὀπί,n-s---fd-,DatMean.,2274451.31,ADV,Ref=1.604,DatMean,,,,DatMean,DatLoc,ref=2274451.32 | greek=ὄψ | lemma=ὀπί | pos=n-s---fd- | rel=2274451.31 | syn=ADV | line=Ref=1.604
2406,13,ὄρεα,ὄρος,n-p---nn-,AccObj,12.0,SBJ,5.279,AccObj,,,,AccObj,NomSubj,ref=13 | greek=ὄρεα | lemma=ὄρος | pos=n-p---nn- | rel=12.0 | syn=SBJ | line=5.279
4375,2274109.3,βασιλεύς,βασιλῆϊ,n-s---md-,DatCaus.,2274109.4,OBJ,Ref=1.9,DatCaus,,,,DatCaus,DatVerb,ref=2274109.3 | greek=βασιλεύς | lemma=βασιλῆϊ | pos=n-s---md- | rel=2274109.4 | syn=OBJ | line=Ref=1.9
3352,7,κύματι,κῦμα,n-s---nd-,DatAgent,9.0,ADV,5.388,DatAgent,,,,DatAgent,DatLoc,ref=7 | greek=κύματι | lemma=κῦμα | pos=n-s---nd- | rel=9.0 | syn=ADV | line=5.388
2048,6,ἐσχατιῆς,ἐσχατιά,n-s---fg-,GenLoc (Prep5),5.0,OBJ,5.238,GenLoc,,,,GenLoc,GenVerb,ref=6 | greek=ἐσχατιῆς | lemma=ἐσχατιά | pos=n-s---fg- | rel=5.0 | syn=OBJ | line=5.238
292,12,Σχερίην,Σχερία,n-s---fa-,AccDirec,15.0,OBJ_AP,5.34,AccDirec,,,,AccDirec,AccObj,ref=12 | greek=Σχερίην | lemma=Σχερία | pos=n-s---fa- | rel=15.0 | syn=OBJ_AP | line=5.34
2299,14,ὕδατος,ὕδωρ,n-s---ng-,GenExpl,12.0,ATR,5.266,GenExpl,,,,GenExpl,GenLoc,ref=14 | greek=ὕδατος | lemma=ὕδωρ | pos=n-s---ng- | rel=12.0 | syn=ATR | line=5.266
3860,7,θεοῖσιν,θεός,n-p---md-,DatVerb,4.0,OBJ,5.447,DatVerb,,,,DatVerb,DatAdvn,ref=7 | greek=θεοῖσιν | lemma=θεός | pos=n-p---md- | rel=4.0 | syn=OBJ | line=5.447
3491,10,ἐπιωγαί,ἐπιωγαί,n-p---fn-,NomPred,12.0,SBJ,5.404,NomPred,,,,NomPred,NomSubj,ref=10 | greek=ἐπιωγαί | lemma=ἐπιωγαί | pos=n-p---fn- | rel=12.0 | syn=SBJ | line=5.404
7654,2274280.2,θεός,θεῷ,n-s---md-,DatAdvn. ,2274280.19,ADV,Ref=1.310|SpaceAfter=No,DatAdvn,,,,DatAdvn,DatLoc,ref=2274280.2 | greek=θεός | lemma=θεῷ | pos=n-s---md- | rel=2274280.19 | syn=ADV | line=Ref=1.310|SpaceAfter=No
9981,2274402.14,κεφαλή,κεφαλῇ,n-s---fd-,DatInstr. ,2274402.15,ADV,Ref=1.527,DatInstr,,,,DatInstr,DatLoc,ref=2274402.14 | greek=κεφαλή | lemma=κεφαλῇ | pos=n-s---fd- | rel=2274402.15 | syn=ADV | line=Ref=1.527
